server,rtt_min,rtt_max,rtt_avg,avg_pkt_loss,num_hops,distinct_domains
www.utah.edu,65.797,343.783,118.414,0.0,73,9
www.cam.ac.uk,116.833,348.120,154.498,0.0,66,9
www.tuj.ac.jp,39.698,299.886,81.725,0.0,68,5
www.polytech-lille.fr,115.536,378.152,150.465,0.0,68,5
www.umn.edu,44.226,307.124,95.579,0.0,67,5
www.wisc.edu,23.556,256.891,53.378,0.0,72,5
www.unl.edu,45.548,326.264,99.357,0.0,73,7
www.iastate.edu,24.743,266.414,51.414,0.0,67,3
www.unimelb.edu.au,23.912,290.996,55.127,0.0,70,6
www.mtu.edu,23.797,266.383,53.980,1.0,69,5
www.aur.edu,23.603,256.854,54.177,0.0,67,2
www.cu.edu,23.742,271.040,52.089,0.0,67,2
www.iisc.ac.in,229.743,482.506,282.493,0.0,75,3
