server,rtt_min,rtt_max,rtt_avg,avg_pkt_loss,num_hops,distinct_domains
www.unimelb.edu.au,12.626,20.498,13.993,0.0,6,5
www.mtu.edu,12.533,65.405,14.409,0.0,13,7
www.polytech-lille.fr,101.728,106.225,102.992,0.0,16,9
www.utah.edu,52.260,104.965,54.860,0.0,43,12
www.wisc.edu,59.415,105.134,61.316,0.0,40,10
www.cam.ac.uk,98.883,150.067,100.654,0.0,65,8
www.tuj.ac.jp,26.095,34.745,27.783,0.0,73,8
www.iisc.ac.in,223.468,344.745,230.948,0.0,76,5
www.umn.edu,19.822,292.300,24.177,0.0,68,7
www.unl.edu,27.456,66.025,29.644,0.0,69,5
www.iastate.edu,12.851,24.294,15.767,0.0,67,5
www.aur.edu,12.566,65.678,14.856,0.0,65,3
www.cu.edu,12.614,65.750,14.632,0.0,65,3
