server,rtt_min,rtt_max,rtt_avg,avg_pkt_loss,num_hops,distinct_domains
www.mtu.edu,24.985,42.548,26.174,0.0,21,7
www.unimelb.edu.au,15.847,19.168,16.854,0.0,13,5
www.polytech-lille.fr,114.557,144.392,115.829,0.0,25,9
www.utah.edu,62.457,68.047,64.031,0.0,37,10
www.wisc.edu,20.056,22.738,21.374,0.0,26,8
www.cam.ac.uk,116.884,127.447,117.790,0.0,65,11
www.tuj.ac.jp,32.381,35.043,33.838,0.0,65,7
www.iisc.ac.in,237.088,238.300,237.726,0.0,78,6
www.iastate.edu,28.906,32.818,29.906,0.0,69,6
www.umn.edu,31.357,33.825,32.321,0.0,65,6
www.unl.edu,42.892,45.131,43.868,0.0,71,8
www.cu.edu,15.991,19.361,17.054,0.0,65,4
www.aur.edu,16.115,18.620,17.002,0.0,65,4
